analysis_patient_id	sample_type	1	2	3	4	5	6	7	8	9	10
Che_2021_Cell_Discov.COL07	metastasis	0.3689796	0.2940510933333333	0.2239274	0.24302521333333335	0.35670341333333333	0.14718557333333335	0.22544296	0.07116066666666666	0.20433118666666666	0.11415069333333333
Che_2021_Cell_Discov.COL07	tumor	0.2692723066666667	0.29664670666666665	0.20227117333333333	0.23242237333333332	0.2981417866666667	0.1328643466666667	0.31324115999999996	0.10336377333333333	0.19410326666666666	0.17232806666666667
Che_2021_Cell_Discov.COL12	metastasis	0.3677912820512821	0.21551492063492064	0.3357766544566545	0.10052837606837606	0.3352445665445665	0.14161089133089133	0.1522654700854701	0.04841506715506715	0.29549223443223444	0.07694173382173383
Che_2021_Cell_Discov.COL12	tumor	0.37777150837988827	0.3038782867783985	0.310487895716946	0.1878184729981378	0.35494845437616385	0.12540309124767224	0.2360959776536313	0.049901750465549344	0.2361578398510242	0.11513065176908753
Che_2021_Cell_Discov.COL15	metastasis	0.2677549066666667	0.24676176	0.19112756	0.2819746266666667	0.21400998666666665	0.09991153333333334	0.15317801333333333	0.044075039999999996	0.18633090666666666	0.06080596
Che_2021_Cell_Discov.COL15	tumor	0.32536243792325054	0.23741790820165537	0.24617164785553047	0.2520461550037622	0.2554987960872837	0.10671747178329571	0.16041756207674945	0.04356153498871331	0.25322594431903683	0.06560893905191874
Che_2021_Cell_Discov.COL16	metastasis	0.26021333333333335	0.27192024691358024	0.2755311111111111	0.14072586419753086	0.32653413580246915	0.14406117283950617	0.23929814814814815	0.11806493827160493	0.24592487654320988	0.13674833333333333
Che_2021_Cell_Discov.COL16	tumor	0.24158164	0.32942390666666665	0.19616476	0.2242134533333333	0.24210465333333334	0.09971133333333335	0.29352382666666665	0.07541701333333332	0.18822978666666665	0.16116889333333334
Che_2021_Cell_Discov.COL18	metastasis	0.39951936507936503	0.3008612698412698	0.2614678659611993	0.20151178130511463	0.2967663492063492	0.1034163668430335	0.21292712522045854	0.0627252557319224	0.1778637037037037	0.0875742151675485
Che_2021_Cell_Discov.COL18	tumor	0.38768749311294765	0.29101206611570246	0.23162275482093664	0.21596826446280992	0.27015013774104685	0.10999856749311296	0.20471112947658401	0.051887052341597795	0.1513460606060606	0.0832537741046832
