comparison_type	left_run	left_k	right_run	right_k	left_program	right_program	cosine	top_gene_jaccard	cosine_null_q99	jaccard_null_q99	exceeds_both_nulls	sensitivity	k
same_k_cross_input	primary_seed_20260812	9	include_one_method	9	1	1	0.950624188937628	0.5151515151515151	0.0356680861733864	0.0101010101010101	True	include_one_method	9
same_k_cross_input	primary_seed_20260812	9	include_one_method	9	2	3	0.973896725526066	0.8518518518518519	0.0356680861733864	0.0101010101010101	True	include_one_method	9
same_k_cross_input	primary_seed_20260812	9	include_one_method	9	3	2	0.8903703057184698	0.4084507042253521	0.0356680861733864	0.0101010101010101	True	include_one_method	9
same_k_cross_input	primary_seed_20260812	9	include_one_method	9	4	9	0.8013409282322337	0.2195121951219512	0.0356680861733864	0.0101010101010101	True	include_one_method	9
same_k_cross_input	primary_seed_20260812	9	include_one_method	9	5	6	0.9812415531930124	0.8518518518518519	0.0356680861733864	0.0101010101010101	True	include_one_method	9
same_k_cross_input	primary_seed_20260812	9	include_one_method	9	6	4	0.989306294893674	0.8181818181818182	0.0356680861733864	0.0101010101010101	True	include_one_method	9
same_k_cross_input	primary_seed_20260812	9	include_one_method	9	7	5	0.9566367411235038	0.7241379310344828	0.0356680861733864	0.0101010101010101	True	include_one_method	9
same_k_cross_input	primary_seed_20260812	9	include_one_method	9	8	7	0.9075087676040908	0.4925373134328358	0.0356680861733864	0.0101010101010101	True	include_one_method	9
same_k_cross_input	primary_seed_20260812	9	include_one_method	9	9	8	0.9784782442647422	0.7241379310344828	0.0356680861733864	0.0101010101010101	True	include_one_method	9
same_k_cross_input	primary_seed_20260812	10	include_one_method	10	1	1	0.9697814793449396	0.5625	0.0355291457260045	0.0101010101010101	True	include_one_method	10
same_k_cross_input	primary_seed_20260812	10	include_one_method	10	2	3	0.9734689721774996	0.7857142857142857	0.0355291457260045	0.0101010101010101	True	include_one_method	10
same_k_cross_input	primary_seed_20260812	10	include_one_method	10	3	10	0.1853466717042162	0.0	0.0355291457260045	0.0101010101010101	False	include_one_method	10
same_k_cross_input	primary_seed_20260812	10	include_one_method	10	4	9	0.8082083617530198	0.25	0.0355291457260045	0.0101010101010101	True	include_one_method	10
same_k_cross_input	primary_seed_20260812	10	include_one_method	10	5	4	0.9480255332576007	0.6666666666666666	0.0355291457260045	0.0101010101010101	True	include_one_method	10
same_k_cross_input	primary_seed_20260812	10	include_one_method	10	6	5	0.9891189477110824	0.8181818181818182	0.0355291457260045	0.0101010101010101	True	include_one_method	10
same_k_cross_input	primary_seed_20260812	10	include_one_method	10	7	6	0.9097120496800408	0.4705882352941176	0.0355291457260045	0.0101010101010101	True	include_one_method	10
same_k_cross_input	primary_seed_20260812	10	include_one_method	10	8	7	0.9605097535484228	0.7543859649122807	0.0355291457260045	0.0101010101010101	True	include_one_method	10
same_k_cross_input	primary_seed_20260812	10	include_one_method	10	9	2	0.7624098221160367	0.2195121951219512	0.0355291457260045	0.0101010101010101	True	include_one_method	10
same_k_cross_input	primary_seed_20260812	10	include_one_method	10	10	8	0.9766197889862605	0.7241379310344828	0.0355291457260045	0.0101010101010101	True	include_one_method	10
same_k_cross_input	primary_seed_20260812	11	include_one_method	11	1	2	0.9078943393672492	0.5384615384615384	0.0355635738303516	0.0101010101010101	True	include_one_method	11
same_k_cross_input	primary_seed_20260812	11	include_one_method	11	2	1	0.6763307020355842	0.1111111111111111	0.0355635738303516	0.0101010101010101	True	include_one_method	11
same_k_cross_input	primary_seed_20260812	11	include_one_method	11	3	4	0.9582132818044992	0.7543859649122807	0.0355635738303516	0.0101010101010101	True	include_one_method	11
same_k_cross_input	primary_seed_20260812	11	include_one_method	11	4	10	0.8288273110564761	0.2987012987012987	0.0355635738303516	0.0101010101010101	True	include_one_method	11
same_k_cross_input	primary_seed_20260812	11	include_one_method	11	5	7	0.982052601424862	0.7241379310344828	0.0355635738303516	0.0101010101010101	True	include_one_method	11
same_k_cross_input	primary_seed_20260812	11	include_one_method	11	6	5	0.942241374617208	0.639344262295082	0.0355635738303516	0.0101010101010101	True	include_one_method	11
same_k_cross_input	primary_seed_20260812	11	include_one_method	11	7	6	0.9154665593708448	0.5151515151515151	0.0355635738303516	0.0101010101010101	True	include_one_method	11
same_k_cross_input	primary_seed_20260812	11	include_one_method	11	8	8	0.962879672555685	0.7543859649122807	0.0355635738303516	0.0101010101010101	True	include_one_method	11
same_k_cross_input	primary_seed_20260812	11	include_one_method	11	9	9	0.9532389789928444	0.6129032258064516	0.0355635738303516	0.0101010101010101	True	include_one_method	11
same_k_cross_input	primary_seed_20260812	11	include_one_method	11	10	3	-0.1556503512347562	0.0	0.0355635738303516	0.0101010101010101	False	include_one_method	11
same_k_cross_input	primary_seed_20260812	11	include_one_method	11	11	11	0.6258693814459302	0.2987012987012987	0.0355635738303516	0.0101010101010101	True	include_one_method	11
