sensitivity	k	matched_pairs	pairs_exceeding_both_nulls	median_cosine	median_top_gene_jaccard	minimum_cosine	minimum_top_gene_jaccard	pass_fraction
exclude_high_unresolved	9	9	8	0.976803707326022	0.7543859649122807	0.1221222333656846	0.0101010101010101	0.8888888888888888
exclude_high_unresolved	10	10	8	0.9773117786299743	0.7261904761904762	0.1252351787655975	0.0	0.8
exclude_high_unresolved	11	11	10	0.9758795300488567	0.7857142857142857	0.0528635452885811	0.0101010101010101	0.9090909090909091
include_one_method	9	9	9	0.9566367411235038	0.7241379310344828	0.8013409282322337	0.2195121951219512	1.0
include_one_method	10	10	9	0.9542676434030117	0.6145833333333333	0.1853466717042162	0.0	0.9
include_one_method	11	11	10	0.9154665593708448	0.5384615384615384	-0.1556503512347562	0.0	0.9090909090909091
