component	eligibility_required	anchor_program	left_run	left_k	left_program	right_run	right_k	right_program	expected_right_program	connects_expected_program	cosine	top_gene_jaccard	cosine_null_q99	jaccard_null_q99	exceeds_both_nulls	component_pass	source_file
cell_resample	True	9	seed_20260812	10.0	9.0	cell_resample_20260813	10.0	2.0		True	0.7264615590946001	0.1627906976744186	0.0445423284711832	0.0101010101010101	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
holdout_A	True	9	seed_20260812	10.0	9.0	patient_holdout_A	10.0	9.0		True	0.010911888835678	0.0101010101010101	0.0393141266082818	0.0101010101010101	False	False	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
holdout_B	True	9	seed_20260812	10.0	9.0	patient_holdout_B	10.0	9.0		True	0.7672861418743492	0.3888888888888889	0.0303334754263743	0.0101010101010101	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
exclude_high_unresolved	True	9	primary_seed_20260812	10.0	9.0	exclude_high_unresolved	10.0	7.0		True	0.9933853897527154	0.7857142857142857	0.0390430173505663	0.0102040816326529	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_sensitivity_v1/P0_cnmf_sensitivity_same_k_pairs.tsv
include_one_method	True	9	primary_seed_20260812	10.0	9.0	include_one_method	10.0	2.0		True	0.7624098221160367	0.2195121951219512	0.0355291457260045	0.0101010101010101	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_sensitivity_v1/P0_cnmf_sensitivity_same_k_pairs.tsv
holdout_A_to_B_bridge	True	9	patient_holdout_A	10.0	9.0	patient_holdout_B	10.0	1.0	9.0	False	0.0621980361568027	0.0204081632653061	0.0286751484030765	0.0101010101010101	True	False	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
adjacent_K9_descriptive	False	9	seed_20260812	9.0	3.0	seed_20260812	10.0	9.0		True	0.8913711078156148	0.4084507042253521	0.043335381820764	0.0101010101010101	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
adjacent_K11_descriptive	False	9	seed_20260812	10.0	9.0	seed_20260812	11.0	10.0		True	0.9850345156695604	0.7543859649122807	0.0421526941309638	0.0204081632653061	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
cross_seed	True	10	seed_20260812	10.0	10.0	seed_20260813	10.0	10.0		True	0.999967806692426	1.0	0.0415525974274892	0.0204081632653061	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
cell_resample	True	10	seed_20260812	10.0	10.0	cell_resample_20260813	10.0	8.0		True	0.9953835987220911	0.9607843137254902	0.0445423284711832	0.0101010101010101	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
holdout_A	True	10	seed_20260812	10.0	10.0	patient_holdout_A	10.0	7.0		True	0.9574054208604902	0.5384615384615384	0.0393141266082818	0.0101010101010101	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
holdout_B	True	10	seed_20260812	10.0	10.0	patient_holdout_B	10.0	6.0		True	0.1234034723017157	0.0101010101010101	0.0303334754263743	0.0101010101010101	False	False	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
exclude_high_unresolved	True	10	primary_seed_20260812	10.0	10.0	exclude_high_unresolved	10.0	8.0		True	0.990570259848672	0.8867924528301887	0.0390430173505663	0.0102040816326529	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_sensitivity_v1/P0_cnmf_sensitivity_same_k_pairs.tsv
include_one_method	True	10	primary_seed_20260812	10.0	10.0	include_one_method	10.0	8.0		True	0.9766197889862605	0.7241379310344828	0.0355291457260045	0.0101010101010101	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_sensitivity_v1/P0_cnmf_sensitivity_same_k_pairs.tsv
holdout_A_to_B_bridge	True	10	patient_holdout_A	10.0	7.0	patient_holdout_B	10.0	3.0	6.0	False	0.2684913227315113	0.0309278350515463	0.0286751484030765	0.0101010101010101	True	False	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
adjacent_K9_descriptive	False	10	seed_20260812	9.0	9.0	seed_20260812	10.0	10.0		True	0.9981217952383848	1.0	0.043335381820764	0.0101010101010101	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
adjacent_K11_descriptive	False	10	seed_20260812	10.0	10.0	seed_20260812	11.0	9.0		True	0.9997985980953108	1.0	0.0421526941309638	0.0204081632653061	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
