component	eligibility_required	anchor_program	left_run	left_k	left_program	right_run	right_k	right_program	expected_right_program	connects_expected_program	cosine	top_gene_jaccard	cosine_null_q99	jaccard_null_q99	exceeds_both_nulls	component_pass	source_file
holdout_A_to_B_bridge	True	2	patient_holdout_A	10.0	1.0	patient_holdout_B	10.0	6.0	3.0	False	0.2810277611115919	0.0416666666666666	0.0286751484030765	0.0101010101010101	True	False	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
adjacent_K9_descriptive	False	2	seed_20260812	9.0	2.0	seed_20260812	10.0	2.0		True	0.9974603290283398	0.9607843137254902	0.043335381820764	0.0101010101010101	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
adjacent_K11_descriptive	False	2	seed_20260812	10.0	2.0	seed_20260812	11.0	3.0		True	0.999790656258875	1.0	0.0421526941309638	0.0204081632653061	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
cross_seed	True	3	seed_20260812	10.0	3.0	seed_20260813	10.0	3.0		True	0.9998128549724412	1.0	0.0415525974274892	0.0204081632653061	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
cell_resample	True	3	seed_20260812	10.0	3.0	cell_resample_20260813	10.0	10.0		True	0.2051273674677276	0.0	0.0445423284711832	0.0101010101010101	False	False	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
holdout_A	True	3	seed_20260812	10.0	3.0	patient_holdout_A	10.0	2.0		True	0.5849202306833446	0.1904761904761904	0.0393141266082818	0.0101010101010101	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
holdout_B	True	3	seed_20260812	10.0	3.0	patient_holdout_B	10.0	2.0		True	0.8778437731230565	0.3888888888888889	0.0303334754263743	0.0101010101010101	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
exclude_high_unresolved	True	3	primary_seed_20260812	10.0	3.0	exclude_high_unresolved	10.0	10.0		True	0.4755851684293727	0.0	0.0390430173505663	0.0102040816326529	False	False	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_sensitivity_v1/P0_cnmf_sensitivity_same_k_pairs.tsv
include_one_method	True	3	primary_seed_20260812	10.0	3.0	include_one_method	10.0	10.0		True	0.1853466717042162	0.0	0.0355291457260045	0.0101010101010101	False	False	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_sensitivity_v1/P0_cnmf_sensitivity_same_k_pairs.tsv
holdout_A_to_B_bridge	True	3	patient_holdout_A	10.0	2.0	patient_holdout_B	10.0	2.0	2.0	True	0.2006491820597337	0.0526315789473684	0.0286751484030765	0.0101010101010101	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
